year_id,game_year,game_season
y1,1896,Summer
y2,1900,Summer
y3,1904,Summer
y4,1908,Summer
y5,1912,Summer
y6,1920,Summer
y7,1924,Summer
y8,1928,Summer
y9,1932,Summer
y10,1936,Summer
y11,1948,Summer
y12,1952,Summer
y13,1956,Summer
y14,1960,Summer
y15,1964,Summer
y16,1968,Summer
y17,1972,Summer
y18,1976,Summer
y19,1980,Summer
y20,1984,Summer
y21,1988,Summer
y22,1992,Summer
y23,1994,Winter
y24,1996,Summer
y25,1998,Winter
y26,2000,Summer
y27,2002,Winter
y28,2004,Summer
y29,2006,Winter
y30,2008,Summer
y31,2010,Winter
y32,2012,Summer
y33,2014,Winter
y34,2016,Summer
y35,2018,Winter
y36,2020,Summer
y37,2022,Winter